date,value,reporter,partner
2021-01-01,3562297235.872,Albania,World
2021-01-01,163974317.889,Andorra,World
2021-01-01,34472161956.832,Angola,World
2021-01-01,22207974784.94,Azerbaijan,World
2021-01-01,77934314986.58,Argentina,World
2021-01-01,342036103269.844,Australia,World
2021-01-01,194703245949.459,Austria,World
2021-01-01,18198973799.994,Bahrain,World
2021-01-01,2964798290.08,Armenia,World
2021-01-01,350172911,Barbados,World
2021-01-01,386354055203.238,Belgium,World
2021-01-01,28632529.08,Bermuda,World
2021-01-01,11079788840.24,Bolivia (Plurinational State of),World
2021-01-01,8614110010.866,Bosnia Herzegovina,World
2021-01-01,7473466757.015,Botswana,World
2021-01-01,280814577460,Brazil,World
2021-01-01,264092675.61,Belize,World
2021-01-01,11058184373.01,Brunei Darussalam,World
2021-01-01,41370856687.293,Bulgaria,World
2021-01-01,15144859129.46,Myanmar,World
2021-01-01,163656476.675,Burundi,World
2021-01-01,39889022800,Belarus,World
2021-01-01,17571782672.48,Cambodia,World
2021-01-01,501538854874.334,Canada,World
2021-01-01,17082261.232,Cayman Isds,World
2021-01-01,13331248583.322,Sri Lanka,World
2021-01-01,94676809206.281,Chile,World
2021-01-01,3362301613439,China,World
2021-01-01,41389989047.59,Colombia,World
2021-01-01,34994132.52,Comoros,World
2021-01-01,2362230161.01,Congo,World
2021-01-01,24124651297.35,Dem. Rep. of the Congo,World
2021-01-01,14345395565.22,Costa Rica,World
2021-01-01,21827948964,Croatia,World
2021-01-01,3989812264.347,Cyprus,World
2021-01-01,227168411022,Czechia,World
2021-01-01,1023522023.899,Benin,World
2021-01-01,125014614347.861,Denmark,World
2021-01-01,11643220004.19,Dominican Rep.,World
2021-01-01,26699199844.372,Ecuador,World
2021-01-01,6394888915.91,El Salvador,World
2021-01-01,3057628826.59,Ethiopia,World
2021-01-01,22303230971.07,Estonia,World
2021-01-01,815335653.153,Fiji,World
2021-01-01,81500265209.305,Finland,World
2021-01-01,585148036598.849,France,World
2021-01-01,143139203.697,French Polynesia,World
2021-01-01,4242512935.07,Georgia,World
2021-01-01,26401460.44,Gambia,World
2021-01-01,1357640029.17,State of Palestine,World
2021-01-01,1635599573787.609,Germany,World
2021-01-01,47244277316.697,Greece,World
2021-01-01,35163394.409,Grenada,World
2021-01-01,13735599195,Guatemala,World
2021-01-01,4257250461.689,Guyana,World
2021-01-01,4975948988.14,Honduras,World
2021-01-01,670926079457.053,"China, Hong Kong SAR",World
2021-01-01,141157091681,Hungary,World
2021-01-01,5973742650.46,Iceland,World
2021-01-01,231522458128.8,Indonesia,World
2021-01-01,195997875900.844,Ireland,World
2021-01-01,60159734000,Israel,World
2021-01-01,615910260060.774,Italy,World
2021-01-01,1480709866.69,Jamaica,World
2021-01-01,757066261248.971,Japan,World
2021-01-01,60321024400.41,Kazakhstan,World
2021-01-01,9356550020.494,Jordan,World
2021-01-01,6751366221.034,Kenya,World
2021-01-01,644372936752,Rep. of Korea,World
2021-01-01,63129693952,Kuwait,World
2021-01-01,2752163636,Kyrgyzstan,World
2021-01-01,7164605459.07,Lao People's Dem. Rep.,World
2021-01-01,4229976738,Lebanon,World
2021-01-01,948535188.45,Lesotho,World
2021-01-01,19458821916.273,Latvia,World
2021-01-01,40698383278.78,Lithuania,World
2021-01-01,16247126542.139,Luxembourg,World
2021-01-01,1392424900.553,"China, Macao SAR",World
2021-01-01,2788376340.521,Madagascar,World
2021-01-01,1009460778.534,Malawi,World
2021-01-01,299230434394.232,Malaysia,World
2021-01-01,151293266.49,Maldives,World
2021-01-01,3066831630.829,Malta,World
