date,reporter,total_exports,gdp,partner,partner_exports,beta
2017-01-01,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-02,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-03,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-04,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-05,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-06,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-07,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-08,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-09,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-10,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-11,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-12,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-13,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-14,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-15,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-16,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-17,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-18,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-19,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-20,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-21,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-22,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-23,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-24,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-25,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-26,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-27,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-28,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-29,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-30,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-31,Austria,412122317.7096774,1121669763.0241318,Russia,5789950.079193549,0.005161902611677144
2017-01-01,Belgium,1019461945.9032258,1351518066.0117042,Russia,6959445.523806452,0.005149354417690916
2017-01-02,Belgium,1019461945.9032258,1351518066.0117042,Russia,6959445.523806452,0.005149354417690916
2017-01-03,Belgium,1019461945.9032258,1351518066.0117042,Russia,6959445.523806452,0.005149354417690916
2017-01-04,Belgium,1019461945.9032258,1351518066.0117042,Russia,6959445.523806452,0.005149354417690916
2017-01-05,Belgium,1019461945.9032258,1351518066.0117042,Russia,6959445.523806452,0.005149354417690916
